Compstr,pairID,Crystal,Etot,Eform,bcc2laves_Hmix_TC,Eform_VASP
FeHf2,P214,Laves,-8.319784,0.944908,0.348616,0.944908
CuHf2,P314,Laves,-7.179597,0.569331,0.187965,0.569331
MnHf2,P414,Laves,-8.565509,0.891535,0.325786,0.891535
CrHf2,P514,Laves,-8.973339,0.706169,0.246496,0.706169
VHf2,P614,Laves,-8.760772,0.736973,0.259673,0.736973
ZnHf2,P714,Laves,-6.482838,0.374409,0.104587,0.374409
MoHf2,P814,Laves,-9.590525,0.575933,0.190788,0.575933
WHf2,P914,Laves,-10.232859,0.623546,0.211154,0.623546
AlHf2,P1014,Laves,-7.506122,0.226501,0.041319,0.226501
TiHf2,P1114,Laves,-8.712946,0.358063,0.097595,0.358063
TaHf2,P1214,Laves,-10.052829,0.418202,0.123319,0.418202
NbHf2,P1314,Laves,-9.534868,0.384555,0.108927,0.384555
HfHf2,P1414,Laves,-9.565777,0.210091,0.034300,0.210091
NiZr2,P015,Laves,-6.858833,0.549002,0.179269,0.549002
CoZr2,P115,Laves,-7.156613,0.774319,0.275648,0.774319
FeZr2,P215,Laves,-7.647833,0.715333,0.250417,0.715333
CuZr2,P315,Laves,-6.321578,0.525825,0.169355,0.525825
MnZr2,P415,Laves,-7.618372,0.937146,0.345297,0.937146
CrZr2,P515,Laves,-7.779571,0.998411,0.371502,0.998411
VZr2,P615,Laves,-7.832494,0.763726,0.271116,0.763726
ZnZr2,P715,Laves,-5.660591,0.295130,0.070676,0.295130
MoZr2,P815,Laves,-8.604002,0.660931,0.227146,0.660931
WZr2,P915,Laves,-9.232022,0.722856,0.253634,0.722856
AlZr2,P1015,Laves,-6.666201,0.164896,0.014968,0.164896
TiZr2,P1115,Laves,-7.744007,0.425476,0.126431,0.425476
TaZr2,P1215,Laves,-9.097820,0.471685,0.146196,0.471685
NbZr2,P1315,Laves,-8.572462,0.445435,0.134968,0.445435
HfZr2,P1415,Laves,-8.669191,0.205152,0.032188,0.205152
ZrZr2,P1515,Laves,-8.238976,0.184603,0.023398,0.184603
ReRe2,P00,Laves,-12.094436,0.013353,0.013353,0.013353
NiRe2,P00,Laves,-9.436678,0.427296,0.427296,0.427296
ReNi2,P00,Laves,-7.746463,-0.126303,-0.126303,-0.126303
CoRe2,P01,Laves,-9.912190,0.474881,0.474881,0.474881
ReCo2,P10,Laves,-8.769297,-0.102943,-0.102943,-0.102943
FeRe2,P02,Laves,-10.425561,0.393745,0.393745,0.393745
ReFe2,P20,Laves,-9.651282,-0.120459,-0.120459,-0.120459
CuRe2,P03,Laves,-8.770182,0.533360,0.533360,0.533360
ReCu2,P30,Laves,-6.372301,0.126995,0.126995,0.126995
MnRe2,P04,Laves,-10.673415,0.338243,0.338243,0.338243
ReMn2,P40,Laves,-10.224994,-0.309467,-0.309467,-0.309467
CrRe2,P05,Laves,-10.917550,0.316572,0.316572,0.316572
ReCr2,P50,Laves,-10.467025,-0.106570,-0.106570,-0.106570
VRe2,P06,Laves,-11.042702,0.009657,0.009657,0.009657
ReV2,P60,Laves,-10.142177,-0.145246,-0.145246,-0.145246
ZnRe2,P07,Laves,-8.069918,0.341943,0.341943,0.341943
ReZn2,P70,Laves,-4.590811,0.125122,0.125122,0.125122
MoRe2,P08,Laves,-11.749314,-0.028242,-0.028242,-0.028242
ReMo2,P80,Laves,-11.057057,0.277298,0.277298,0.277298
WRe2,P09,Laves,-12.378458,0.032561,0.032561,0.032561
ReW2,P90,Laves,-12.341204,0.373043,0.373043,0.373043
AlRe2,P010,Laves,-9.241066,0.046171,0.046171,0.046171
ReAl2,P100,Laves,-6.433593,0.033091,0.033091,0.033091
TiRe2,P011,Laves,-11.021361,-0.395738,-0.395738,-0.395738
ReTi2,P110,Laves,-9.176439,-0.032982,-0.032982,-0.032982
TaRe2,P012,Laves,-12.331177,-0.305533,-0.305533,-0.305533
ReTa2,P120,Laves,-11.565050,0.378450,0.378450,0.378450
NbRe2,P013,Laves,-11.777478,-0.303441,-0.303441,-0.303441
ReNb2,P130,Laves,-10.468931,0.371353,0.371353,0.371353
HfRe2,P014,Laves,-11.961321,-0.630839,-0.630839,-0.630839
ReHf2,P140,Laves,-10.075238,0.477937,0.477937,0.477937
ZrRe2,P015,Laves,-11.461480,-0.581760,-0.581760,-0.581760
ReZr2,P150,Laves,-9.075793,0.575856,0.575856,0.575856
